barbara_mikulski,opposes,stricter punishment reduces crime 
barbara_mikulski,opposes,absolute right to gun ownership 
barbara_mikulski,favors,higher taxes on the wealthy 
barbara_mikulski,favors,pathway to citizenship for illegal aliens 
barbara_mikulski,opposes,support & expand free trade 
barbara_mikulski,opposes,support american exceptionalism 
barbara_mikulski,favors,expand the military 
barbara_mikulski,favors,make voter registration easier 
barbara_mikulski,favors,avoid foreign entanglements 
barbara_mikulski,favors,prioritize green energy 
barbara_mikulski,opposes,marijuana is a gateway drug 
barbara_mikulski,favors,stimulus better than market-led recovery 
barnie_sanders,favors,abortion is a woman's unrestricted right 
barnie_sanders,favors,legally require hiring women & minorities 
barnie_sanders,favors,comfortable with same-sex marriage 
barnie_sanders,opposes,keep god in the public sphere 
barnie_sanders,favors,expand obamacare 
barnie_sanders,opposes,privatize social security 
barnie_sanders,opposes,vouchers for school choice 
barnie_sanders,opposes,epa regulations are too restrictive 
barnie_sanders,opposes,stricter punishment reduces crime 
barnie_sanders,opposes,absolute right to gun ownership 
barnie_sanders,favors,higher taxes on the wealthy 
barnie_sanders,favors,pathway to citizenship for illegal aliens 
barnie_sanders,opposes,support & expand free trade 
barnie_sanders,opposes,support american exceptionalism 
barnie_sanders,opposes,expand the military 
barnie_sanders,favors,make voter registration easier 
barnie_sanders,favors,avoid foreign entanglements 
barnie_sanders,favors,prioritize green energy 
barnie_sanders,opposes,marijuana is a gateway drug 
barnie_sanders,favors,stimulus better than market-led recovery 
benjamin_cardin,favors,abortion is a woman's unrestricted right 
benjamin_cardin,favors,legally require hiring women & minorities 
benjamin_cardin,favors,comfortable with same-sex marriage 
benjamin_cardin,opposes,keep god in the public sphere 
benjamin_cardin,favors,expand obamacare 
benjamin_cardin,opposes,privatize social security 
benjamin_cardin,opposes,vouchers for school choice 
benjamin_cardin,opposes,epa regulations are too restrictive 
benjamin_cardin,opposes,stricter punishment reduces crime 
benjamin_cardin,opposes,absolute right to gun ownership 
benjamin_cardin,favors,higher taxes on the wealthy 
benjamin_cardin,favors,pathway to citizenship for illegal aliens 
benjamin_cardin,favors,support & expand free trade 
benjamin_cardin,opposes,support american exceptionalism 
benjamin_cardin,favors,expand the military 
benjamin_cardin,favors,make voter registration easier 
benjamin_cardin,favors,avoid foreign entanglements 
benjamin_cardin,favors,prioritize green energy 
benjamin_cardin,opposes,marijuana is a gateway drug 
benjamin_cardin,favors,stimulus better than market-led recovery 
ben_carson,opposes,abortion is a woman's unrestricted right 
ben_carson,opposes,legally require hiring women & minorities 
ben_carson,opposes,comfortable with same-sex marriage 
ben_carson,favors,keep god in the public sphere 
ben_carson,opposes,expand obamacare 
ben_carson,favors,privatize social security 
ben_carson,favors,vouchers for school choice 
ben_carson,favors,epa regulations are too restrictive 
ben_carson,opposes,stricter punishment reduces crime 
ben_carson,favors,absolute right to gun ownership 
ben_carson,opposes,higher taxes on the wealthy 
ben_carson,opposes,pathway to citizenship for illegal aliens 
ben_carson,opposes,support & expand free trade 
ben_carson,favors,support american exceptionalism 
ben_carson,favors,expand the military 
ben_carson,no opinion on,make voter registration easier 
ben_carson,opposes,avoid foreign entanglements 
ben_carson,opposes,prioritize green energy 
ben_carson,favors,marijuana is a gateway drug 
ben_carson,opposes,stimulus better than market-led recovery 
bernie_sanders,favors,abortion is a woman's unrestricted right 
bernie_sanders,favors,legally require hiring women & minorities 
bernie_sanders,favors,comfortable with same-sex marriage 
